"Incident Number","Day and Month Reported","Year Reported","Police Shift","Offense Code","Offense Type","Offense Definition","Offense Sub-Category","Offense Category","Block Code","Ward"
"18038177","6/26","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003008","6              "
"18038180","6/26","2018","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173508002004","6              "
"18038184","6/26","2018","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173509001001","6              "
"18038188","6/26","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173501071005","1              "
"18038195","6/26","2018","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173513002001","3              "
"18038220","6/26","2018","First Half (4PM - Midnight)","90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other","250173501091021","4              "
"18038241","6/26","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173504001000","6              "
"18038328","6/27","2018","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"18038333","6/27","2018","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173514043001","1              "
"18038433","6/27","2018","First Half (4PM - Midnight)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173501091017","1              "
"18038503","6/28","2018","Day Shift (8AM - 4PM)","120","Robbery","The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.","Robbery","Crimes against Property","250173507013000","7              "
"18038521","6/28","2018","Day Shift (8AM - 4PM)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173501061003","1              "
"18038545","6/28","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173513003001","3              "
"18038561","6/28","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173508002006","7              "
"18038612","6/28","2018","First Half (4PM - Midnight)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173501061003","1              "
"18038638","6/28","2018","First Half (4PM - Midnight)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173501061014","1              "
"18038695","6/29","2018","Last Half (Midnight - 8AM)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173512032000","2              "
"18038902","6/29","2018","First Half (4PM - Midnight)","13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person","250173507023002","7              "
"18038924","6/29","2018","First Half (4PM - Midnight)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173502021003","3              "
"18038997","6/30","2018","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173501091002","4              "
"18039019","6/30","2018","Day Shift (8AM - 4PM)","120","Robbery","The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.","Robbery","Crimes against Property","250173509003009","6              "
"18039174","7/1","2018","Last Half (Midnight - 8AM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173505001007","6              "
"18039175","7/1","2018","Last Half (Midnight - 8AM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173514035000","1              "
"18039178","7/1","2018","Last Half (Midnight - 8AM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173509001001","6              "
"18039194","7/1","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173504004007","6              "
"18039195","7/1","2018","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173514035001","1              "
"18039328","7/2","2018","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173505002001","6              "
"18039367","7/2","2018","Day Shift (8AM - 4PM)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173507011004","7              "
"18039393","7/2","2018","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173514032006","1              "
"18039407","7/2","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173507013003","7              "
"18039433","7/2","2018","First Half (4PM - Midnight)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173514031001","1              "
"18039474","7/2","2018","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173515003010","2              "
"18039532","7/3","2018","Last Half (Midnight - 8AM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173502011008","1              "
"18039582","7/3","2018","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173503001001","5              "
"18039608","7/3","2018","Day Shift (8AM - 4PM)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173502012006","4              "
"18039609","7/3","2018","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173507013000","7              "
"18039694","7/3","2018","First Half (4PM - Midnight)","90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other","250173501082011","4              "
"18039711","7/3","2018","First Half (4PM - Midnight)","120","Robbery","The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.","Robbery","Crimes against Property","250173501082001","4              "
"18039715","7/3","2018","First Half (4PM - Midnight)","13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person","250173505002000","6              "
"18039776","7/4","2018","Day Shift (8AM - 4PM)","90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other","250173515003000","2              "
"18039945","7/5","2018","Last Half (Midnight - 8AM)","90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other","250173513003005","3              "
"18040103","7/5","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173507023005","7              "
"18040105","7/5","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173507011008","7              "
"18040175","7/6","2018","Day Shift (8AM - 4PM)","90J","Trespass Of Real Property","To unlawfully enter land, a dwelling, or other real property.","Trespass Of Real Property","Other","250173514044004","1              "
"18040254","7/6","2018","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173508001002","7              "
"18040273","7/6","2018","First Half (4PM - Midnight)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173509003002","6              "
"18040286","7/6","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512032000","2              "
"18040331","7/6","2018","First Half (4PM - Midnight)","35A","Drug/Narcotic Violations","The unlawful cultivation, manufacture, distribution, sale, purchase, use, possession, transportation, or importation of any controlled substance.","Drug/Narcotics Offenses","Crimes against Society","250173514035000","1              "
"18040336","7/6","2018","First Half (4PM - Midnight)","35A","Drug/Narcotic Violations","The unlawful cultivation, manufacture, distribution, sale, purchase, use, possession, transportation, or importation of any controlled substance.","Drug/Narcotics Offenses","Crimes against Society","250173501061015","1              "
"18040386","7/7","2018","Last Half (Midnight - 8AM)","13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person","250173503003005","5              "
"18040428","7/7","2018","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173514043002","1              "
"18040429","7/7","2018","Day Shift (8AM - 4PM)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173501071007","1              "
"18040470","7/7","2018","First Half (4PM - Midnight)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173502013002","4              "
"18040477","7/7","2018","First Half (4PM - Midnight)","35A","Drug/Narcotic Violations","The unlawful cultivation, manufacture, distribution, sale, purchase, use, possession, transportation, or importation of any controlled substance.","Drug/Narcotics Offenses","Crimes against Society","250173514033000","1              "
"18040481","7/7","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512031003","2              "
"18040493","7/7","2018","First Half (4PM - Midnight)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173507011002","7              "
"18040616","7/8","2018","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173507012007","7              "
"18040656","7/8","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173504004007","6              "
"18040668","7/8","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173509003009","6              "
"18040669","7/8","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173503002005","5              "
"18040686","7/8","2018","First Half (4PM - Midnight)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173515003001","3              "
"18040759","7/9","2018","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173510012007","2              "
"18040940","7/10","2018","Last Half (Midnight - 8AM)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173514041003","1              "
"18040971","7/10","2018","Day Shift (8AM - 4PM)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173501061006","1              "
"18040987","7/10","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501081014","4              "
"18041064","7/10","2018","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"18041140","7/11","2018","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173504001003","6              "
"18041177","7/11","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061004","1              "
"18041204","7/11","2018","Day Shift (8AM - 4PM)","90C","Disorderly Conduct","Any behavior that tends to disturb the public peace or decorum, scandalize the community, or shock the public sense of morality.","Disorderly Conduct","Other","250173509003009","6              "
"18041373","7/12","2018","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173510021003","5              "
"18041401","7/12","2018","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173505001007","6              "
"18041433","7/12","2018","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173512033002","2              "
"18041474","7/12","2018","Day Shift (8AM - 4PM)","250","Counterfeiting/Forgery","The altering, copying, or imitating of something, without authority or right, with the intent to deceive or defraud by passing the copy or thing altered or imitated as that which is original or genuine, or the selling, buying, or possession of an altered, copied, or imitated thing with the intent to deceive or defraud.","Counterfeiting/Forgery","Crimes against Property","250173509003018","6              "
"18041512","7/12","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173515001007","2              "
"18041521","7/12","2018","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173512042003","2              "
"18041524","7/12","2018","First Half (4PM - Midnight)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173515001003","2              "
"18041525","7/12","2018","First Half (4PM - Midnight)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173515001003","2              "
"18041644","7/13","2018","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173510013001","5              "
"18041649","7/13","2018","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173512041005","2              "
"18041651","7/13","2018","Day Shift (8AM - 4PM)","90D","Driving Under The Influence","Driving or operating a motor vehicle or common carrier while mentally or physically impaired as the result of consuming an alcoholic beverage or using a drug or narcotic.","Driving Under The Influence","Other","250173502021001","5              "
"18041661","7/13","2018","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173515001007","2              "
"18041670","7/13","2018","First Half (4PM - Midnight)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173510021003","5              "
"18041702","7/13","2018","First Half (4PM - Midnight)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173509003017","6              "
"18041719","7/13","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003001","6              "
"18041778","7/14","2018","Last Half (Midnight - 8AM)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173507023005","7              "
"18041827","7/14","2018","Day Shift (8AM - 4PM)","120","Robbery","The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.","Robbery","Crimes against Property","250173501071017","1              "
"18041857","7/14","2018","Day Shift (8AM - 4PM)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173507021008","7              "
"18041873","7/14","2018","First Half (4PM - Midnight)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173509003009","6              "
"18041978","7/15","2018","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173503003007","5              "
"18041986","7/15","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003002","6              "
"18042009","7/15","2018","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"18042020","7/15","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512042005","2              "
"18042117","7/16","2018","Last Half (Midnight - 8AM)","90D","Driving Under The Influence","Driving or operating a motor vehicle or common carrier while mentally or physically impaired as the result of consuming an alcoholic beverage or using a drug or narcotic.","Driving Under The Influence","Other","250173504003005","6              "
"18042212","7/16","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501081010","4              "
"18042218","7/16","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512041004","2              "
"18042219","7/16","2018","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173515001003","2              "
"18042237","7/16","2018","Day Shift (8AM - 4PM)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173514033004","1              "
"18042287","7/16","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512042007","2              "
"18042317","7/16","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173513003003","3              "
"18042327","7/16","2018","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173501061015","1              "
"18042329","7/16","2018","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173501061008","1              "
"18042392","7/17","2018","Last Half (Midnight - 8AM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501071008","1              "
"18042434","7/17","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509002005","6              "
"18042463","7/17","2018","Day Shift (8AM - 4PM)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173501061004","1              "
"18042516","7/17","2018","First Half (4PM - Midnight)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173508002007","7              "
"18042538","7/17","2018","First Half (4PM - Midnight)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173509003001","6              "
"18042545","7/17","2018","First Half (4PM - Midnight)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173514031001","1              "
"18042577","7/18","2018","Last Half (Midnight - 8AM)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173512043002","2              "
"18042608","7/18","2018","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173514033001","1              "
